word,freq
iphone,440
need,400
now,398
one,387
onerepublic,356
future,329
computers,317
batteries,314
studio,311
outlet,310
store,261
new,180
teamcavuto,180
nyc,169
agree,159
stage,157
protesters,157
protests,156
anger,156
phone,155
misplaced,155
diein,153
retweet,152
stock,147
get,143
via,140
apples,131
inc,122
will,118
can,118
just,116
update,110
amp,109
like,107
ipad,100
fuck,100
ios,97
app,92
intraday,90
december,85
dont,84
make,83
free,83
shit,82
jobs,80
steve,78
google,75
fix,74
ipod,71
macbook,70
iphones,70
thanks,69
cant,65
trading,64
time,64
levels,62
fibonacci,60
technicals,60
back,59
best,56
buy,56
please,55
users,55
pay,54
great,53
still,53
media,53
love,51
tech,50
watch,50
trade,49
use,49
sales,49
music,49
year,49
apps,48
hey,48
timcook,48
work,47
even,47
itunes,47
mac,46
emoji,46
today,45
good,45
really,45
want,45
price,45
next,44
stores,43
going,43
fucking,42
market,42
know,41
twitter,41
products,41
mkt,41
last,41
social,41
much,40
ceo,40
plus,40
battery,39
computer,39
blog,38
first,38
got,38
jpdesloges,37
monday,37
working,37
cook,37
tim,37
android,36
ive,36
thank,36
stockaction,36
antitrust,36
lawsuit,35
facebook,35
samsung,34
help,34
together,34
people,34
finally,34
dear,34
thehill,33
think,33
service,33
premium,33
yosemite,32
yall,32
target,32
stop,32
startup,32
comments,32
hiring,32
screen,31
charger,31
patent,31
deleted,31
doesnt,30
hate,30
pro,30
aaplapple,30
trial,30
may,30
wtf,29
federal,29
way,29
youtube,29
well,29
life,29
needs,29
workshops,29
see,28
better,28
every,28
let,28
day,28
customer,28
isnt,28
case,28
unlock,27
wont,27
final,27
news,27
says,27
mini,26
take,26
guys,26
video,26
drop,26
whats,26
holiday,26
hourofcode,26
ever,25
right,25
companies,25
law,25
iphoneplus,25
chargers,25
support,25
problem,25
demand,25
stevejobs,25
amazon,25
ipods,25
days,24
updated,24
lol,24
come,24
guru,24
top,23
makes,23
money,23
big,23
justice,23
say,23
macbookpro,23
billion,23
share,23
never,23
week,23
range,23
nice,23
emojis,23
keep,22
century,22
cites,22
department,22
nasdaq,22
comes,22
technology,22
god,22
getting,22
making,22
wait,21
putcallratios,21
thing,21
product,21
hold,21
quarter,21
important,21
list,20
world,20
air,20
suck,20
updates,20
gay,20
trying,20
hipster,20
unboxing,20
ill,20
bill,20
awesome,20
touch,20
detected,20
india,20
supporting,20
warming,20
emails,19
look,19
hard,19
ass,19
phones,19
gets,19
raised,19
without,19
profit,19
something,19
named,19
tell,19
didnt,19
block,19
china,19
shannonmmiller,19
cnbctv,18
since,18
photo,18
youre,18
visit,18
yet,18
able,18
many,18
changes,18
release,18
innovation,18
wrong,18
code,18
mobile,18
japan,18
million,18
mark,18
center,17
appstore,17
open,17
game,17
another,17
analyst,17
tuesday,17
bad,17
launch,17
stuff,17
years,17
company,17
genius,17
months,17
eps,17
damn,16
search,16
show,16
court,16
using,16
month,16
change,16
business,16
power,16
gotta,16
thats,16
call,16
messages,16
sucks,16
patents,16
sell,16
customers,16
looks,16
check,16
streaming,16
things,16
tweether,16
crash,15
applewatch,15
full,15
times,15
laptop,15
hell,15
hour,15
idea,15
works,15
yeah,15
inch,15
education,15
amazing,15
put,15
device,15
happened,15
wozniak,15
safari,15
siri,15
autocorrect,15
fool,15
motley,15
seems,15
done,15
earth,15
left,15
ads,15
bought,14
made,14
huge,14
wish,14
red,14
must,14
play,14
stupid,14
longer,14
website,14
said,14
send,14
goog,14
happy,14
someone,14
yes,14
set,14
shares,14
bar,14
reasons,14
waiting,14
profits,14
camera,14
weeks,14
tmobile,14
